"rating.2.41." "review" "yy_2"
"1" "5.0" "A good time but very expensive. $100 for myself, husband and a 4 year old." "8/7/2013"
"2" "4.0" "Surprised my son with a visit here for his birthday.  Compared to the one in DC, DC has got nothing on Baltimore.  It is massive and super fun!  My birthday boy could not stop seeing the various exhibits.  From Calypso the green sea turtle to the rainforest!  This aquarium was worth every penny to see the smile on my sons face.It is a but pricey, I am sure if I had gotten the membership it would be MUCH cheaper.  The location of the aquarium is excellent, with views of the harbor.  Their Dolphin discovery exhibit is another worthwhile thing to see.  This is fun for all kids and grownups!" "7/2/2012"
"3" "4.0" "I do enjoy the Nat Aquarium.  We've been several times.  It changes every year or so, so that there's always something new to experience.  Today we did immersion tours and it changed the entire experience.  I will do my best to describe it all, quickly:Basic admission - if we had ONLY done the basic admission today we probably would not have enjoyed it.  LOTS of exhibits and cool stuff but man was that place packed.  At one point, we overheard an employee saying that so far they were above 6400 visitors... even the employees were shocked at the attendance.  You had to fight your way to every exhibit.  Normally, we go during the week (since we have kids that's normally in the summer) when it's less crowded and I recommend that.Rain forest exhibit-4 stars  (I would have rated it a 3 because I have seen better - specifically the RF exhibit in the SF Science Museum, which I also did a YELP review for... but I gave it a 4 because my 2 kids -7yo boy & 10yo girl - both said this and the Austrailian exhibit were their 2nd favorite exhibits)Austrailian exhibit - VERY similar to Rain forest exhibit, also 4 stars.Jellies - Might be my fav part, only because it's the only time I have ever thought Jelly Fish were beautiful. 4 stars (only because everyone else may not be as tickled that that idea as I am; and it's usually crowded)Sharks - I LOVE their shark exhibits, it's also the \"fav\" exhibit of both my 7 yr old son and my not 7 yr old husband.  The first time we took my then 4 yr old son he refused to walk down the ramp among the shark tank.  5 starsBlack tip shark reef - separate from the other shark areas, this is the newest exhibit. It's super cool and not just sharks.  We loved the big sea turtle, too.  5 starsDolphins - as you will read, we got up close and personal today but they do \"shows\" which are fun, we caught part of one.  You can also see the dolphins most any time you want so you can wander in and check them out as a regular exhibit whenever.  I do love dolphins.  Not rating since it can't compare to the special tour we did.There's not a boring part of the aquarium, it's all super cool, esp if you are either REALLY into this stuff or hardly ever see these kinds of animals.  We're sort of in the middle.The food at the cafe was also wonderful. As an aside, the environment (inner harbor) is a great place to hang out and site see.NOW for the good stuff...Dolphin Encounter... I bought this for my daughter as a birthday gift.   It is EXPENSIVE... esp when you have to pay for a second expensive ticket just to be able to to and watch up close and take pics.  But... O. M. G. this was worth it for real.  I don't think my daughter knows how lucky she is to have had this opportunity.  She was \"petting\" and touching the dolphin, playing catch and coxing the dolphin to dance and do all kinds of things.  I was thrilled just to be able to capture it all on video.  VERY EXPENSIVE and worth every dime if you can swing it without sacrificing buying groceries that week. WOW.  500 stars.**Unexpected Bonus:  The Dolphin Encounter starts before the building opens.  Two of us were doing that, but there were 4 in our party.  They let my son and husband in to roam even though the entire place was not open.  They say that was the highlight of their day.  No crowds, about 20 people in the building.  Super cool.  Esp important as we said it was extra crowded today.  They also said the coolest coolest thing was that only some of the lights were on in the shark exhibit so when they first saw a shark it seemed to come out of the darkness.  They said it was down right WICKED, and it was the highlight of their day.Shark Encounter... Since we could not afford to do the dolphin encounter for my son, too, I had to come up with something special he could do.  The shark encounter was the pick.  Less expensive, but still not cheap.  I was told that you'd walk across a catwalk inches above the shark tank during feeding time and there would be lots of excitement.  Yes, you walk across a catwalk inches above the shark tank - and it's very \"back stage\" because you see all the filters and such, but because of the filters and water movement you can't see the sharks that well.  And I did not see anyone feeding the sharks.  I felt like it was a bit of a rip off and was disappointed.  This is esp true since the cost to do that includes your admission to the museum, which the dolphin encounter also included so I basically paid for 2 admissions we didn't use.  I asked if we could get anything to compensate (lunch? something?  NO, NOTHING).  It should not be called the shark encounter.  It should be called a back stage tour.  You see the animal quarrantine areas, the lab, the filters, etc.  It's cool, and you learn a lot, but it is NOT what was represented to me.  1 star on this.  Sorry." "11/30/2013"
"4" "4.0" "It's a great place for family fun and learning. Although they don't have like a major variety of animals for what they do have is awesome and it is quite a bit. Only thing i did not like was the fact that it was wayyyy over crowded. I kept getting scared id lose one of my 3 boys. The prices for admission is high but we ended up buying the membership seeing it was only $30 more than what we would have spent for the day so now we can go whenever we feel like it. One thing i absolutely didn't like was the parking we took the whole family which we took 3 cars and each car spent $27. I'm told theres a special parking for the aquarium  but i don't know the area so i'd have to look for it.   Other than that its pretty great and fun for the kids." "7/2/2014"
"5" "5.0" "Great time here! The staff was super friendly. It is very clean. The layout was great. No huddles of people crowding around. The flow of traffic was smooth and fast. The aquarium is HUGE. I loved the multi level tanks. As you walk down each level, you hit the fishies until you hit the bottom level with the sharks! Upstairs is the rain forest, complete with monkeys and birds. I loved my visit here. It was very impressive. Don't flash the octopus!" "7/8/2012"
"6" "1.0" "definitely had a blast here today. big, bright, clean exhibits and happy looking animals. love love love the jellyfish tanks. helpful staff everywhere. a little pricey for foods but hey that's what youll get at this type of place. lots of places to view the animals, since it was quite busy there. was a great day trip and very educational!" "6/29/2014"
"7" "4.0" "I've been wanting to come here for years! I never was able to go because other plans got in the way. I heard SO many great things about it.. I just wanted to experience it for myself! This year I was finally taken. I was disappointed and I won't ever make a trip back. I came here on a Sunday, which I didn't expect it to be so crowded with people, but it was.. No big deal though, everywhere will be like that. I didn't expect it to be as short of a tour as it was. It took us an hour and a half to go through the aquarium. It had great facts behind every animal/creature, but I couldn't stand there, people were crowding into the same tiny spaces making it difficult to read anything. It just wasn't a fun experience as I thought.. I've been to MUCH better aquariums." "9/5/2012"
"8" "3.0" "I'll admit it - I'm a sucker for aquariums and zoos.  The best birthday gifts I've had in the past two years have been my year-long membership to the Shedd Aquarium in 2011 and the Brookfield Zoo in 2012.  So when I went to visit some family in the Baltimore area in August of 2012, one of the obligatory stops for me was to the National Aquarium.  Location: 5 out of 5 (for tourists)Of COURSE the National Aquarium has to be located in the general harbor area.  I mean...where would it be otherwise, right?  I actually like the harbor area because if you start walking on one end at around Pier 5 all the way around the where the Rusty Scupper is and then back, it's actually a fairly pleasant walk.  Parking was plentiful at the main parking complex at Pier 5, though I would suggest that you make a full day of being in the area since it was over 20 dollars for a flat \"daily\" fee.  Buses and the light rail are viable options, of course - but we were coming from the 'burbs in a rental car.Layout: 3 out of 5Sorry, national aquarium - although I understand the reasoning behind having to split exhibits up into different buildings and the necessity behind making the most of your vertical space so that you can fit more into less...the overall layout can be a little distracting, especially if you start asking yourself, \"oh wait...did we walk there yet?\"  And since there are a few areas that don't seem to have a clear flow of traffic direction, you run the risk of running into the small children that are running afoot (in the wrong direction).  Was it fun to go up the escalators and take in things at a relaxing pace, and was it neat to walk over one of the sky bridges over the water?  It sure was, and I'm not complaining about my experience at the aquarium - it just wasn't my personal preference for how it was laid out.  Also - if you're walking from Pier 5, you'll run into one of the auxiliary buildings first before the main entrance.  Don't be bummed out, but instead - try to walk to the \"front\" and you'll see the ticket windows.  Aside from the physical layout, the aquarium was laid out in a manner that made sense:  freshwater fish were in the same general area, the rainforest area was isolated from the rest of the building, salt water fish were in another, and admittedly - the big tank holding all of the sharks and schools of large fish was incredibly impressive (but the review of this metric goes somewhere else). Variety and quality of exhibits: 5 out of 5No complaints in this department.  Upon walking in, you're greeted with a cool (temperature and metaphorically) waterfall area where you can get some pictures (serves as a queuing area when times are busy, I assume), and then you're off into the main part of the aquarium.  The biggest draw, I imagine - is the open tank in the middle of the main building that has the sea turtle missing one flipper.  That turtle is actually pretty awesome.  Commensurate with other great aquariums in the country, you'll find a large selection of ocean creatures, stream creatures, pond creatures, lake creatures, and even some land creatures like the turtle that was hanging out in the rain forest exhibit.  They also have a few sloths in that exhibit, but unfortunately - s/he was not interested in making an appearance on the day I was there.  I'm not sure if the jellyfish exhibit is permanent or rotating, but it was probably the exact one that we had in Chicago for awhile.  As I mentioned earlier, the huge tank holding sharks and other Caribbean type fish was impressive - some fish were super twitchy and fast, others liked to swim together in a slow promenading manner, and then there were some that were just hanging out and resting.  I believe that admission covers their version of the dolphin demonstration, but I've seen so many of those that it was...ok to skip.  Amenities and cleanliness: 4 out of 5No complaints here, either.  Restrooms were plentiful, and elevators for those needing them were easily visible.  There were a few places to eat that either sold items or allowed you to bring them in, and the place was kept extremely clean.  Price: 4 out of 5Admission for adults was 30 bucks each, which I think is about right for the caliber of things that you get to see along with the sheer number of things to observe.  I appreciated the self-serve payment kiosks that probably come in handy when you have huge groups of people.  Overall: 4 out of 5Very strong 4 star experience.  Lots to see, easy parking, and located in a very picturesque setting.  Strongly recommended for young couples, as well as families who have kids at an age where they're captivated by living creatures." "10/26/2012"
"9" "3.0" "This place was great as far as all the animals you get to see and learn about.  I absolutely love the touch screen information docks. The sharks and dolphins are awesome and the jellyfish are mesmerizing. However, I have to give 3 stars. One star off because of the Awful customer service by the older, shorter gentleman standing at the entrance checking tickets. Why have him at the FRONT? Im sure he was hired for a reason but he definitely does not leave a customer feeling welcome or even respected. Another star off because of the poor signage when you enter (I can get over that) and for the super spaced out 4D shows that the ticket agent told me lasts 15 mins. Either that is not the real length of the show or there is a ridiculously long break after each show. I ended up not going because I didnt want to wait 40 minutes after I had toured the aquarium for the show to start." "5/22/2014"
"10" "2.0" "The National Aquarium in Baltimore is very nice.  It is large, plenty of exhibits to keep you occupied.  They jellyfish exhibit was my favorite... and the sharks, can't forget the sharks!  I also enjoyed the tortoises in the \"rainforest\" part of the aquarium.It gets very crowded here on the weekends to the point where you have to wait to get up close to see the fish.  That being said, I would try and come here on a weekday if possible.  In addition, with all the bodies in this place, it gets very hot a muggy.  Definitely dress in layers.  At one point I thought I was going to pass out.Overall this is a fun outing and I would recommend it to those in the area.  It may not be as good as the Boston Aquarium, but it's still fun!" "6/13/2012"
