"rating.2.31." "review" "yy_2"
"3.0" "You know I was extremely excited to go to Baltimore to see this place.. Let me tell you about the crap-tacular time I had at this place. I walked around for about an hour to see not so stunning exhibits on animals that didn't seem all to lively. I paid 22 for parking at a lot close to that water front.. The rain forest was cool for about 5 minute then it gets to hot. An the mist that they spay on you every 10 seconds makes you think you are getting pooped on by the birds that are floating around making noises.. Yet you can hardly see them.. I smell special effects..  The Dolphins were unimpressive. The Shark sections left me feeling like I walked into a giant downward spiral.. OH WAIT.. IT IS. Did i mention that you walk all the way to the top of the place to see tiny exhibits of animals you can't take a picture of.. Where was the interactive fun for the children. Screw that where was the interactive fun for the person who drove 3 1/2 hours for this crap. I don't recommend this to anyone.." "9/16/2010"
"3.0" "Ok. Expected better service from cafe workers. Eat before you come everything is expensive. Nice attractions different types of fish sharks etc." "5/22/2009"
"5.0" "I went to the aquarium last year so I hope my memory is good enough to describe what I saw. The surrounding area was pretty nice. Of course they have different varieties of sea animals, fish,etc. While you 're going up, there's a huge skeleton of a whale hanging by the circular escalator going up to the 2nd and 3rd floor. The dolphin show which you have to pay extra was very nice. Sorry couldn't remember more." "5/12/2011"
"4.0" "At least tied with the Monterey Bay Aquarium in California for best aquarium that I've visted.  I go every time I'm in back in town.  I love B'more and this is another reason why.I love the displays and it's a fun outing with my nephew.  There are also nearby things to keep kids busy, too." "12/17/2006"
"4.0" "There's a special place in my heart for the Monterey Bay Aquarium. I love how they integrate the views and the bay and all the cute animals and exhibits, from the sea otters to the stingray and starfish petting zoo. But I was really blown away by Balto's aquarium. I found the admission price pretty steep ($23) but I really see why. (Tip: buy your tickets in advance--you can even do it online!) It's a thoughtfully planned out venue where the flow is in an upward spiral, so you get to see everything. And the sharks! I've never seen so many varieties of shark contained in one space. Both frightening and absolutely wonderful. I loved their Amazon jungle recreation, and all the rainforest frogs and animals, especially the giant sea turtle and even the crocodiles. If you're a regular kid or kid at heart who loves the deep sea, put this on your must-see list." "12/1/2006"
"2.0" "I love this aquarium, great date place, but not that i would know (been married for 5 years) but i have been told.Kids dig it, chicks dig it, and it is really coolIt is a little pricey, i think they are up to like $24/person.  Kind of ridiculous but if you look at everything they have to pay for.  That place can't be cheep to run.If you are traveling to B-More, you have to go to the aquarium, hon." "10/17/2006"
"5.0" "Keeping in mind that I went on a Saturday afternoon and if I'd consulted yelp I may have slightly different view concerning the crowds I still  feel the following thoughts are consistently appropriate regardless.  I was expecting the aquarium to be some kind of marvel like.... walking through the ocean or something since the vast majority of my friends acted like it was the best place they'd ever been. When i got there I was excited  to see a timed entrance and even though I new I'd have to wait I took solace in the impending organization as well as the crowd control...Um crowd control pipe dreams aside when I walked in the doors the building was hot and smelly. Okay okay, okay I'm at an aquarium , I'm quite aware there are certain smells that accompany being there but I think this place smelled unkempt.  (The smell may have been exacerbated by the hot environment)  There was trash on the floor, it was crowded and poorly mapped, the escalators bottle necked, I wish you'd had the option of stair use This place seemed like a fire trap, It was impossible to see anything, I enjoyed the 4d show but calling it a movie is laughable since it felt like I'd just set down when I got up.  The  variety of available fish was disappointing the dolphin show was basically a really difficult to hear infomercial for \"being green\" with a few and I mean very few tricks performed.  The staff was not knowledgeable about the exhibits I felt ripped off when I left what an embarrassing national aquarium. I concede  I may have had a different experience if there wasn't a crowd but I've been to LOTS of crowded places that where cheaper, cleaner brighter better stocked, with a better informed staff. I really wish I liked the aquarium but I have got to disagree with most of the other yelpers its a two star at best at this point in time maybe with a renovation, and better crowd control, staff trainings, air conditioning and a few structural modifications it could be four or five stars but right now two is generous." "5/16/2010"
"5.0" "The National Aquarium was fantastic.  We sat for the dolphin show and were blown away when 5 adults all became misty-eyed at the sight of a dolphin swimming across a pool.  That and remembering what it was like to be a kid while watching all the kids run up to the edge of the pool to get splashed on a cold, rainy winter day.After the dolphin show, we walked through the entire aquarium.  I really enjoyed their exhibits.  Well arraigned with helpful volunteers who would point out otherwise hidden animals.  The only issue we came across was being shoved out of the way by large groups of kids when we were trying to look at exhibits.  My one suggestion is figure out how frequently the waves of kids come through and plan accordingly." "12/23/2008"
"3.0" "The best aquarium hands down on the east coast.     I am used to the dirty and small Brooklyn Aquarium, so when my wife and I visited Baltimore last summer we were stunned by this behemoth on the Inner Harbor. We waited on a very long line on this 4th of July weekend so everyone was out and about on this warm summer day. Out of no where some guy approaches us with 2 tickets and says \"I was just called into work and my company gave me some comp tickets, you want them?\" As a typical New Yorker I am hesitant thinking \"whats the catch?\". He said no catch and does not want money since they were free. He gave them to us, we get off that dreaded line and like aquarium vips we walk into this amazing place.     They have pretty much every kind of creature you would think of at this location. It is right by all the action of the Inner Harbor with a giant Barnes and Noble mega store next door and Cheesecake Factory, Phillips Seafood and Hard Rock in the distance. Hotels also close by and a shopping mall too. Definitely make it part of your next Baltimore trip." "6/15/2008"
"3.0" "Ok...If you need a reminder as to why you don't want to have children, this is a great place to go in the summer. This place is like the birth-control poster child breeding ground during those three months. If you have children, and you want them to be happy and learn about sea life, avoid the aquarium during the summer. Your children will cry because it is dark, because they can't see you, and because they can't see the exhibits; it's not going to be fun for you or them. I don't know who designed this place, but apparently they were hitting the crack pretty hard. Actually, that's not fair; it was designed according to the brilliant standards of the 1970s, which means a whole lot of blank concrete and not enough exhibit space....as we all know, buildings that date to this time period have aged so well. The exhibition spaces are tiny, and kind of revolve around the diorama set-up. This means that 30+ people and children are crammed together at any given time to view an exhibit that is presented through a 12'x6' window. Be prepared: kids will ram into your legs and try to physically push you out of the way so that they can see the action...and their parents probably won't do anything about it. Basically the entire aquarium is set up this way, with the exceptions being the giant sting ray atrium, the three story spiraling exhibit, and the Australian exhibit. Unfortunately, the majority of your time is spent in the cramped areas, so by the time you get to the better areas you're pretty much done with being in the building. You definitely will start to feel a little bitter about the $20+ you spent to visit this poorly aging marvel. The Atlanta Aquarium this is not. Actually this is probably one of the worst aquariums I have ever visited, and I've been to a few. The stingray atrium is the only reason this place is getting three stars.Should you decide that you absolutely must visit the aquarium, buy your tickets in advance. I did not attend the dolphin show; however, I did visit the dolphin area, and it's a great place to show your kids what happens when marine mammals are confined with minimal stimulation. Hey Billy! She those repetitive behaviors! Go early in the day so that you can find parking, and be prepared to shell out for that as well. Or, just go to the National Zoo instead." "9/19/2007"
